Country,Year,Food Consumption,Food Production,Population,Wastage
Camaroon,1990,1639.580269,1731,12.07,277.3722692
Camaroon,1991,1632.253814,1815,12.43,235.4707221
Camaroon,1992,1674.844424,1706,12.80,257.3456221
Camaroon,1993,1724.105645,1850,13.17,340.1508355
Camaroon,1994,1591.094995,1840,13.55,336.8589965
Camaroon,1995,1785.035189,2194,13.93,375.3949731
Camaroon,1996,1883.438322,2268,14.32,428.6076968
Camaroon,1997,2021.759148,2171,14.71,342.8437833
Camaroon,1998,2154.193602,2474,15.11,417.2621141
Camaroon,1999,1968.093221,2295,15.51,433.8495077
Camaroon,2000,2282.30002,2402,15.93,453.8615802
Camaroon,2001,2319.936403,2491,16.35,487.1090639
Camaroon,2002,2334.875413,2681,16.78,553.2682844
Camaroon,2003,2411.486449,2809,17.22,595.989533
Camaroon,2004,2489.552222,2936,17.68,594.1080798
Camaroon,2005,2635.401337,3457,18.13,735.4241831
Camaroon,2006,2809.348775,3676,18.61,787.6398123
Camaroon,2007,2995.355772,4036,19.10,863.7187737
Camaroon,2008,3237.962318,4177,19.60,900.6883417
Camaroon,2009,3511.951563,4762,20.10,1073.053418
Camaroon,2010,3631.350131,5049,20.59,1209.255754
Camaroon,2011,3788.132982,5147,21.16,1244.60059
Camaroon,2012,3917.733423,5250,21.66,1251.03619
Camaroon,2013,4180.303293,5482,22.21,1275.44229
Camaroon,2014,4319.561551,5525,22.77,1256.79169
Central African Republic,1990,370.4686177,348,2.91,24.92423745
Central African Republic,1991,378.5848649,362,2.98,24.10877302
Central African Republic,1992,378.7192121,366,3.09,25.28520917
Central African Republic,1993,367.4331883,366,3.13,25.41335659
Central African Republic,1994,356.2333151,363,3.20,25.62730818
Central African Republic,1995,370.7442467,383,3.34,28.51543914
Central African Republic,1996,407.3170569,416,3.35,29.90484307
Central African Republic,1997,447.5009037,455,3.43,32.51675553
Central African Republic,1998,457.6027256,480,3.50,34.19110903
Central African Republic,1999,444.9271609,466,3.57,34.76048326
Central African Republic,2000,476.3059939,479,3.73,35.94198161
Central African Republic,2001,479.0750346,491,3.70,37.92865975
Central African Republic,2002,474.7049428,491,3.77,38.78581016
Central African Republic,2003,477.0617357,485,3.92,54.81264527
Central African Republic,2004,499.0621573,508,3.89,37.83520147
Central African Republic,2005,507.2659907,517,3.96,40.16743089
Central African Republic,2006,513.9683512,520,4.03,41.94375199
Central African Republic,2007,528.7405416,542,4.11,43.72925421
Central African Republic,2008,553.6886825,555,4.28,47.06105996
Central African Republic,2009,576.5011783,573,4.27,44.88516781
Central African Republic,2010,592.9773384,589,4.35,45.4925715
Central African Republic,2011,609.6319453,605,4.53,46.1131778
Central African Republic,2012,609.7903192,603,4.62,45.1131778
Central African Republic,2013,589.4027265,531,4.71,36.4731778
Central African Republic,2014,580.7943882,535,4.80,35.4031778
Congo,1990,388.9013542,283,2.38,-2.58011713
Congo,1991,333.8126081,235,2.45,1.789625515
Congo,1992,334.3438854,238,2.51,19.70031176
Congo,1993,369.1079737,254,2.58,2.50522817
Congo,1994,395.6314775,285,2.65,18.69204729
Congo,1995,398.6973007,285,2.72,11.21667082
Congo,1996,444.6209533,302,2.80,-0.729490169
Congo,1997,497.1190263,306,2.88,-0.945380991
Congo,1998,488.1137677,293,2.96,2.934031289
Congo,1999,507.3773864,313,3.03,22.87135341
Congo,2000,542.3535832,315,3.13,27.36837337
Congo,2001,550.7947812,326,3.21,19.55733249
Congo,2002,563.7333573,330,3.28,16.50882367
Congo,2003,586.8504679,338,3.36,12.49081178
Congo,2004,606.6023688,356,3.41,11.39847108
Congo,2005,612.8376648,361,3.54,47.23797285
Congo,2006,637.9249195,393,3.65,52.41606073
Congo,2007,642.3367318,413,3.72,78.8349188
